product_id,brand,platform,title_clean,title_raw,category,product_format,selling_price,mrp,discount_pct,discount_source,rating,review_count,rating_source,review_source,seller,availability,pack_count,unit_quantity,unit,total_quantity,price_per_unit,price_per_100g,price_per_100ml,product_url,scraped_at,raw_reference
9631889031450_49826106179866,AromaPure,AromaPure Official,Aromahpure Premium Car Dashboard Peach,Aromahpure Premium Car Dashboard Peach,Ambient Fragrance (General),Ambient Freshener,589.0,599.0,1.67,calculated,,,,,,In Stock,1,,,,589.0,,,https://aromahpure.com/products/premium-car-dashboard-peach,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\9631889031450_49826106179866.html
8807512801562_47215819522330,AromaPure,AromaPure Official,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( White Sandalwood ) - Sandalwood / 1,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( White Sandalwood ) - Sandalwood / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/brown-electric-ceramic-owl-design-diffuser-with-15-ml-fragrance-oil-white-sandalwood,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807512801562_47215819522330.html
8807604781338_47216302719258,AromaPure,AromaPure Official,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Charming Rose ) - Rose / 1,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Charming Rose ) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/brown-electric-ceramic-owl-design-diffuser-with-15-ml-fragrance-oil-charming-rose,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807604781338_47216302719258.html
8807606092058_47216307732762,AromaPure,AromaPure Official,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Zesty Orange ) - Orange / 1,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Zesty Orange ) - Orange / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/brown-electric-ceramic-owl-design-diffuser-with-15-ml-fragrance-oil-zesty-orange,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807606092058_47216307732762.html
8807608189210_47216316285210,AromaPure,AromaPure Official,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Thai Lemongrass ) - Lemongrass / 1,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil ( Thai Lemongrass ) - Lemongrass / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/brown-electric-ceramic-owl-design-diffuser-with-15-ml-fragrance-oil-thai-lemongrass,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807608189210_47216316285210.html
8807609499930_47216321462554,AromaPure,AromaPure Official,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,Brown Electric Ceramic Owl Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/brown-electric-ceramic-owl-design-diffuser-with-15-ml-fragrance-oil-joyful-lavender,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807609499930_47216321462554.html
8807576469786_47216161751322,AromaPure,AromaPure Official,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( Charming Rose ) - Rose / 1,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( Charming Rose ) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,In Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/white-electric-ceramic-shell-design-diffuser-with-15-ml-fragrance-oil-charming-rose,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807576469786_47216161751322.html
8807574176026_47216149070106,AromaPure,AromaPure Official,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( White Sandalwood ) - Sandalwood / 1,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( White Sandalwood ) - Sandalwood / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/white-electric-ceramic-shell-design-diffuser-with-15-ml-fragrance-oil-white-sandalwood,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807574176026_47216149070106.html
8807579812122_47216190062874,AromaPure,AromaPure Official,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( Joyful Lavender ) - Lavender / 1,White Electric Ceramic Shell Design Diffuser with 15 ml Fragrance Oil ( Joyful Lavender ) - Lavender / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,599.0,999.0,40.04,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,599.0,,3993.33,https://aromahpure.com/products/white-electric-ceramic-shell-design-diffuser-with-15-ml-fragrance-oil-joyful-lavender,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807579812122_47216190062874.html
8588961579290_46573700907290,AromaPure,AromaPure Official,"Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 1 / Floral Lily","Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 1 / Floral Lily",Ambient Fragrance (General),Ambient Freshener,299.0,599.0,50.08,calculated,,,,,,In Stock,1,,,,299.0,,,https://aromahpure.com/products/aromahpure-premium-flakes-car-perfume-floral-lily-bliss,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8588961579290_46573700907290.html
8588961579290_52552613036314,AromaPure,AromaPure Official,"Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 2 / Floral Lily","Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 2 / Floral Lily",Ambient Fragrance (General),Ambient Freshener,569.0,1198.0,52.5,calculated,,,,,,In Stock,1,,,,569.0,,,https://aromahpure.com/products/aromahpure-premium-flakes-car-perfume-floral-lily-bliss,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8588961579290_46573700907290.html
8588961579290_52552613069082,AromaPure,AromaPure Official,"Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 3 / Floral Lily","Bliss Car Perfume Flakes | Luxury Hanging Car Fragrance | Premium Fresheners for Cars, Closets, and Enclosed Areas - Bliss / 3 / Floral Lily",Ambient Fragrance (General),Ambient Freshener,809.0,1797.0,54.98,calculated,,,,,,In Stock,1,,,,809.0,,,https://aromahpure.com/products/aromahpure-premium-flakes-car-perfume-floral-lily-bliss,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8588961579290_46573700907290.html
9952343032090_50880909508890,AromaPure,AromaPure Official,Air Revitalizer - Filters and Humidifies Air | Green,Air Revitalizer - Filters and Humidifies Air | Green,Ambient Fragrance (General),Ambient Freshener,1899.0,2499.0,24.01,calculated,,,,,,Out of Stock,1,,,,1899.0,,,https://aromahpure.com/products/aromahpure-air-revitalizer-1800ml-green-air-humidifier-with-built-in-blue-led-light-wide-coverage-area-improves-air-quality-room-moisture-neutralize-perfect-for-home-office,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\9952343032090_50880909508890.html
8247214178586_45307048886554,AromaPure,AromaPure Official,"Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 1","Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 1",Room Spray & Aerosol,Room Spray,249.0,499.0,50.1,calculated,,59.0,,AromaPure Official,,Out of Stock,1,100.0,ml,100.0,249.0,,249.0,https://aromahpure.com/products/room-and-linen-spray-bergamot-mandarin-watermelon,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8247214178586_45307048886554.html
8247214178586_45372061286682,AromaPure,AromaPure Official,"Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 2","Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 2",Room Spray & Aerosol,Room Spray,479.0,998.0,52.0,calculated,,59.0,,AromaPure Official,,Out of Stock,1,100.0,ml,100.0,479.0,,479.0,https://aromahpure.com/products/room-and-linen-spray-bergamot-mandarin-watermelon,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8247214178586_45307048886554.html
8247214178586_45372061319450,AromaPure,AromaPure Official,"Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 3","Room & Linen Spray - Pillow, Bedding and Fabric Freshener | Clear Cotton | 100 ml - 3",Room Spray & Aerosol,Room Spray,689.0,1497.0,53.97,calculated,,59.0,,AromaPure Official,,Out of Stock,1,100.0,ml,100.0,689.0,,689.0,https://aromahpure.com/products/room-and-linen-spray-bergamot-mandarin-watermelon,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8247214178586_45307048886554.html
10096852238618_51575865934106,AromaPure,AromaPure Official,"Aromahpure Closair - Shoe Rack and Wardrobe Air Freshener | Floral Fragrance, Woody Fragrance, Aqua Fragrance","Aromahpure Closair - Shoe Rack and Wardrobe Air Freshener | Floral Fragrance, Woody Fragrance, Aqua Fragrance",Ambient Fragrance (General),Ambient Freshener,699.0,1197.0,41.6,calculated,,107.0,,AromaPure Official,,In Stock,1,,,,699.0,,,https://aromahpure.com/products/hanger-air-freshener-pack-of-3-fragrances-floral-woody-aqua,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\10096852238618_51575865934106.html
