source,brand_query,source_url,product_url,product_id,asin,sku,product_name,brand,category_raw,subcategory_raw,product_type_raw,tags_raw,price_raw,mrp_raw,discount_raw,pack_size_raw,rating_raw,review_count_raw,availability_raw,seller_raw,description_raw,scraped_at,raw_source_reference,rejection_reason,raw_page_reference,review_source
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07VCC76MN,B07VCC76MN,B07VCC76MN,,Odonil,Odonil,,,,[],199,39.80,,,4.2,4,In Stock,,,2026-09-23T18:57:04.831116+00:00,search_q1_p1_20260923T184626Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0GKPJ16GY,B0GKPJ16GY,B0GKPJ16GY,,Odonil,Odonil,,,,[],199,398,,,4.1,4,In Stock,,,2026-09-23T18:57:04.831116+00:00,search_q1_p1_20260923T184626Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00TS8BMF2,B00TS8BMF2,B00TS8BMF2,,Odonil,Odonil,,,,[],,,,,4.2,4,In Stock,,,2026-09-23T18:57:04.831116+00:00,search_q1_p1_20260923T184626Z.html,invalid_or_zero_price,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0GKPJ16GY,B0GKPJ16GY,B0GKPJ16GY,,Odonil,Odonil,,,,[],199,398,,,4.1,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07VCC76MN,B07VCC76MN,B07VCC76MN,,Odonil,Odonil,,,,[],199,39.80,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0B3XPJTFG,B0B3XPJTFG,B0B3XPJTFG,,Odonil,Odonil,,,,"[""Amazon's""]",189,94.50,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B09TVVWTG3,B09TVVWTG3,B09TVVWTG3,,Odonil,Odonil,,,,[],213,73.96,,,4.3,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00KIMHR0Q,B00KIMHR0Q,B00KIMHR0Q,,Odonil,Odonil,,,,[],150,78.13,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07VCC76MN,B07VCC76MN,B07VCC76MN,,Odonil,Odonil,,,,[],199,39.80,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0F4RHPBYK,B0F4RHPBYK,B0F4RHPBYK,,Odonil,Odonil,,,,[],280,72.92,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
